Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Adventure, Horror, Comedy",en,2015-08-05,6.3,"real;begin;small;Stine,",Goosebumps
Horror,en,1981-09-10,7.3,"surrounding;weekend,;cabin;force",The Evil Dead
"Action, Thriller",en,2012-08-08,6.2,Cross;life-or-death;Bourne.;CIA,The Bourne Legacy
"Drama, Romance",en,2019-12-25,7.9,Civil;War.;Four;come,Little Women
Drama,ru,2019-11-28,8.1,class;striker.;no;day,Lev Yashin. The Dream Goalkeeper
"Drama, Fantasy, Action",ko,2017-12-14,8.1,"he’s;life,;afterlife;passes",Along with the Gods: The Two Worlds
"Thriller, Drama, Science Fiction",en,2018-12-13,6.9,presence;bid;ominous;drives,Bird Box
"Fantasy, Action, Thriller",en,2003-09-19,6.8,"male;Selene,;waged;prowess,",Underworld
"Action, Drama, Adventure",en,1986-05-16,7.0,flyer;Lt.;Pete;hit.,Top Gun
"Comedy, Drama, Romance",en,2011-07-29,7.2,Over;dating.;American;40,"Crazy, Stupid, Love."
Western,it,1966-12-23,8.5,"Mexican;$200,000;stolen;American","The Good, the Bad and the Ugly"
"Action, Comedy, Crime, Thriller",en,2013-07-18,6.5,down;reunites;team;agent,RED 2
"Comedy, Crime, Thriller, Drama",en,2021-02-19,6.7,guardian;latest;traps;older,I Care a Lot
"Comedy, Horror",en,2017-10-13,6.1,babysitter;past;hot;quiet.,The Babysitter
"Drama, Horror, Crime",en,2011-10-06,4.8,12-person;realize;sick;fantasy.,The Human Centipede 2 (Full Sequence)
"Action, Drama, History",en,1959-11-18,7.8,"governor,;mother;background;Jew",Ben-Hur
Comedy,en,2005-05-27,6.6,"quarter-back,;Paul;put;Crewe",The Longest Yard
Action,en,2018-06-05,5.1,Shu;trained;kidnapped;ever,Escape Plan 2: Hades
"Fantasy, Comedy, Family",en,2005-10-21,6.6,"Widower;And;benefactor,;together",Nanny McPhee
"Animation, Adventure, Family, Fantasy",en,2010-07-29,6.7,other;accidentally;special;stay,Tinker Bell and the Great Fairy Rescue
"Action, Science Fiction",en,2020-03-05,6.8,"anything;wife,;life.;scientists.",Bloodshot
"Adventure, Action, Science Fiction",en,1999-05-19,6.5,"strong;discovered;Force,;Skywalker,",Star Wars: Episode I - The Phantom Menace
Horror,en,2015-05-20,5.2,escalate;rescue;attacks;home,Poltergeist
"Animation, Comedy, Family",en,2007-03-23,6.9,brilliant;Things;creating;abandoned,Meet the Robinsons
Documentary,en,2015-05-29,5.9,old;realities;stream;professional,Hot Girls Wanted
"Action, Horror",ko,2019-07-31,6.8,battle;world.;forces;champion,The Divine Fury
"Crime, Drama, Western",en,2012-08-29,7.0,Depression-era;Set;bootlegging;want,Lawless
"Horror, Thriller, Mystery",en,2009-01-09,5.2,spirit;slowly;possession;fights,The Unborn
"Drama, Horror, Thriller",no,2020-10-22,5.6,lines;prospect;charismatic;spectacle?,Cadaver
"Crime, Action, Thriller",en,2021-07-16,6.0,then;sheriff;away;They,Out of Death
